teacher,name_of_class,block,task,total_students,week_num,min_1,min_2,min_3,min_4,min_5
shephard,algebra_1,w1,rebus_puzzles,22,4,0,0,0,0,0
shephard,algebra_1,w1,logic_puzzles,23,5,2,2,1,1,1
shephard,algebra_1,w3,solving_equations,23,1,0,1,1,2,1
shephard,algebra_1,w3,four_fours,23,2,4,2,2,1,1
shephard,algebra_1,w3,open_middle,23,3,0,0,1,1,0
shephard,algebra_1,w3,rebus_puzzles,22,4,0,1,2,1,1
shephard,algebra_1,w3,logic_puzzles,23,5,1,1,0,1,1
shephard,algebra_1,w5,solving_equations,24,1,0,1,2,1,3
shephard,algebra_1,w5,four_fours,22,2,3,1,2,1,1
shephard,algebra_1,w5,open_middle,24,3,0,0,1,1,1
shephard,algebra_1,w5,rebus_puzzles,23,4,0,0,0,1,0
shephard,algebra_1,w5,logic_puzzles,24,5,1,1,1,1,1
beckley,informal_geometry,b2,solving_equations,16,1,2,1,1,1,1
beckley,informal_geometry,b2,four_fours,15,2,2,4,7,4,3
beckley,informal_geometry,b2,open_middle,16,3,4,6,7,9,11
beckley,informal_geometry,b2,rebus_puzzles,15,4,2,3,1,5,2
beckley,informal_geometry,b2,logic_puzzles,16,5,2,3,4,2,3
beckley,geometry,b3,solving_equations,25,1,1,1,2,3,4
beckley,geometry,b3,four_fours,24,2,2,4,6,5,6
beckley,geometry,b3,open_middle,24,3,4,4,4,2,6
beckley,geometry,b3,rebus_puzzles,25,4,2,2,1,0,1
beckley,geometry,b3,logic_puzzles,25,5,3,4,2,1,2
beckley,geometry,w1,solving_equations,14,1,1,2,1,1,3
beckley,geometry,w1,four_fours,12,2,0,2,2,1,2
beckley,geometry,w1,open_middle,12,3,1,1,2,3,2
beckley,geometry,w1,rebus_puzzles,13,4,5,4,2,3,2
beckley,geometry,w1,logic_puzzles,14,5,1,1,1,1,2
beckley,informal_geometry,w3,solving_equations,18,1,6,3,3,4,5
beckley,informal_geometry,w3,four_fours,17,2,2,3,4,4,3
beckley,informal_geometry,w3,open_middle,17,3,5,6,6,7,8
beckley,informal_geometry,w3,rebus_puzzles,18,4,2,3,4,4,3
beckley,informal_geometry,w3,logic_puzzles,17,5,1,3,2,4,1
beckley,informal_geometry,w5,solving_equations,16,1,4,3,6,6,6
beckley,informal_geometry,w5,four_fours,19,2,4,3,3,7,6
beckley,informal_geometry,w5,open_middle,17,3,4,2,2,2,6
beckley,informal_geometry,w5,rebus_puzzles,15,4,4,2,3,1,1
beckley,informal_geometry,w5,logic_puzzles,19,5,3,3,3,3,3
